	Narracja
72	W mrocznej podziemnej krypcie na Dominarii stoi monumentalny kamienny łuk smoczy wysokości kilku metrów, dwa smoki wyryte w filarach zwrócone pyskami ku sobie. Między filarami pulsuje gorąca pomarańczowo-żółta poświata wypełniająca portal, a w jej sercu zarysowuje się sylwetka wyłaniającego się smoka — rozpostarte skrzydła, rogi, żarzące się oczy. Na posadzce przed łukiem widać wyblakłe okręgi przywołań i osmalone kamienie — ślady po wcześniejszych, nie zawsze udanych próbach. W dominariańskich kryptach artefakty nie obiecują posłuszeństwa tego, co przez nie przeszło — obiecują jedynie, że coś przejdzie.
73	Na linii podziału między czystym a skażonym lasem Tangle na Mirrodinie stoi humanoidalny konstrukt bojowy z jasnego złotawego metalu, ostrza wyrastające wprost z przedramion wystawione przed siebie i na boki. Jego cylindryczny moduł sensoryczny świeci ciepłym złotawobiałym blaskiem, skanując bez przerwy otoczenie w poszukiwaniu tego, co się rusza po niewłaściwej stronie linii. Za jego plecami pnie lśnią jeszcze miedzianym połyskiem, przed nim drzewa pokryte ciemnozieloną oleistą substancją phyrexiańskiej korupcji. Mirrański ruch oporu wytwarza takich strażników setkami — mają odciągać uwagę, kupować minuty i umierać w milczeniu bez raportu.
74	Przez suche stepy Tarkiru uderza fala lamelkowej kawalerii klanu Mardu — na czele potężny wojownik w otwartym hełmie z napolicznikami, szablą uniesioną nad głową w bojowym krzyku. Za nim pędzi kilkunastu jeźdźców z chorągwiami i włóczniami, kopyta wzbijają złotawy pył, który tworzy za szarżą chmurę rozświetloną niskim słońcem. Każdego wojownika otacza subtelna białozłota poświata — ich aura karmi się samym impulsem natarcia, jaśniejąc im bliżej wrogów. Wysoko nad polem bitwy krąży smok, a Mardu naśladują jego styl polowania — prędkość, głód i brak pauzy między dostrzeżeniem ofiary a uderzeniem.
75	Przez ruiny dominariańskiej wioski pędzi phyrexiański horror — wychudzona zniekształcona istota z poplątanych ścięgien, ciemnej chityny i odsłoniętych metalicznych kości. Zamiast twarzy ma gładką wydłużoną powierzchnię z pojedynczym otworem świecącym chorobliwą bladozieloną poświatą, a z pleców wyrastają niesymetryczne kolce imitujące skrzydła. Wokół jej pędzącej sylwetki unoszą się bladoniebieskie strzępki wspomnień, wyrywane z powietrza wokół niej jak owady ze światła — wiedza, którą wróg zyskuje z samej obecności tego stworzenia. Phyrexia nie przysyła strategów — przysyła gniew w cielesnym kształcie, a Dominaria znów musi odkrywać, jak brzmi nazwisko nieubłaganego.
76	W smaganych wiatrem wieżach Saphery elficcy arcymagowie z Ulthuanu spędzają całe stulecia na zgłębianiu najdrobniejszych niuansów Wysokiej Magii. W trakcie pojedynku na marmurowym tarasie mistrz z Białej Wieży Hoetha unosi dłoń w niedbałym, pełnym arystokratycznego spokoju geście. Niszczycielski strumień sprofanowanej energii w ułamku sekundy rozbija się o niewidzialną barierę, rozpadając się na miliony nieszkodliwych, błękitnych okruchów. Cała skomplikowana wiedza i potęga obcego czarnoksiężnika zostaje zredukowana do jednego, bezwzględnego aktu arkanicznej negacji.
77	W palącym blasku zachodzącego słońca na zakurzonej ulicy przygranicznego miasteczka na planie Thunder Junction czas zdaje się zastygać w bezruchu. Doświadczona rewolwerzystka Annie Flash staje naprzeciw przeciwników w nienagannej, stabilnej pozie weteranki niezliczonych starć. Błyskawiczny wystrzał z jej trójlufowej rękawicy rozdziera gorące powietrze oślepiającą wiązką elektryczności, w ułamku sekundy rozstrzygając wynik pojedynku. Zabezpieczywszy bezcenny relikt ze starożytnego skarbca, legendarna banitka przypomina całemu pograniczu, dlaczego jej imię wciąż budzi powszechny respekt.
78	W bogato zdobionej kupieckiej sypialni na łożu z bordowymi prześcieradłami leży starszy otyły mężczyzna, lśniący od potu, dłonie kurczowo zaciśnięte na pościeli. Nad jego wezgłowiem stoi oneiromantka w ciemnym podróżnym płaszczu z naciągniętym kapturem, otwarta dłoń kilka centymetrów nad czołem śpiącego. Z głowy mężczyzny wypływa gęsta bladolawendowa mgła, wewnątrz której formują się półprzezroczyste zarysy stert monet i zwojów pergaminu — sekrety wciągane precyzyjnie do szklanej ołowianej fiolki w jej drugiej dłoni. Wąski snop księżycowego światła wpada przez okiennice, oświetlając tylko tę jedną pracę — w redańskich miastach Kontynentu niektóre rzemiosła wykonuje się tylko w nocy.
79	Na popielatej równinie Zendikaru po przejściu Eldrazi stoi ogromny hedron wielkości kilkupiętrowego budynku, lekko przechylony, jednym rogiem zagrzebany w szarym gruncie. Jego powierzchnia pokryta jest gęstą siecią wyrytych run pulsujących bladym ciepłym światłem — jedyny ślad magii w martwym krajobrazie pozbawionym trawy i kamieni. Po zawietrznej stronie konstrukcji zgromadziła się mała grupa ocalałych różnych ras, rozpinających płachty i liny między wystającymi rogami hedronu — prowizoryczna osada w morzu pustki. Tam, gdzie Eldrazi zostawili po sobie nicość, hedrony wciąż pamiętają, że kiedyś ten świat miał magię — a ci, którzy się przy nich zatrzymali, pamiętają to również.
80	W sterylnych, monumentalnych nawach Czystej Bazyliki na planie Mirrodin bunt pretora Urabraska dobiega ostatecznego końca. Na podwyższeniu z białego marmuru bezwładny korpus z czarnego żelaza spoczywa unieruchomiony w polach stazy, pozbawiony swoich niszczycielskich kończyn. Porcelanowi inżynierowie Ortodoksji Maszyn metodycznie przenoszą zdemontowane elementy pancerza wprost do otwartego kokonu inkubacyjnego, by zasilić nimi nową jednostkę bojową. Ze szczytu balkonu sama Elesh Norn obserwuje upadek rebelii, nakazując pozostawić rozbrojonego zdrajcę jako niemy i bezsilny pomnik swej absolutnej władzy.
81	W wilgotnym podszyciu tropikalnej dżungli Tarkiru siedzi krotiq wielkości konia — ogromny owad o chitynowym pancerzu w odcieniach ciemnej czerwieni i brązu, pokryty naroślami przypominającymi korę. Jego masywne kleszcze przednich odnóży złożone są jak tarcze, a nisko osadzone oczy złożone obserwują spokojnie ludzkiego trapera, który właśnie zorientował się, że korzeń przecięty przez jego maczetę jest żywy. Za bestią, w zagłębieniu między korzeniami, lśnią bladozielone jajeczne kokony — powód, dla którego strażniczka nie rusza się z miejsca. Wokół, w gęstwinie, obracają się powoli inne korzenie — dżungla Temur jest pełna matek, a matki krotiqów nie dają drugiej szansy.
82	Podczas zaciętych walk na frontach Wielkiego Scalenia na planie Alara rycerze z odłamu Bant musieli znaleźć nowe sposoby przekazywania rozkazów. Wobec zdziesiątkowania tradycyjnych zwiadowców avenów przez potworności z sąsiednich krain, dowódcy polowi zaczęli wykorzystywać zwinne sokoły z ościennej puszczy Naya. Majestatyczny biało-złoty drapieżnik ląduje z impetem na opancerzonym ramieniu oficer, dostarczając w szponach zapieczętowany zwój z planami wroga. Błyskawiczne wieści przyniesione przez skrzydlatych posłańców dają obrońcom bezcenną wiedzę taktyczną, pozwalając w porę przegrupować oddziały na zagrożonych odcinkach granicy.
83	Przez mroczny iglasty las pędzi trójka masywnych zwierzoludzi-minotaurów z wyfilcowanym ciemnobrązowym futrem i zakrzywionymi rogami ze śladami po zadrapaniach. Lider grupy na pierwszym planie trzyma uniesiony do ciosu ogromny dwustronny topór z wyszczerbionymi krawędziami, a z jego rozwartego pyska z żółtymi kłami bucha para. Ich bursztynowe oczy żarzą się tępym blaskiem w cieniu, rozszczepione kopyta wbijają się w ściółkę wyrzucając błoto i igliwie, grube gałęzie pękają pod naciskiem barków. Zwierzoludzie nie skradają się i nie planują — Głaz Stada pchnął ich na tę drogę, a Dzieci Chaosu idą nią, dopóki coś ich nie zatrzyma.
84	W nieprzebytych, pradawnych ostępach lasu Krosa na Dominarii potężny łowca Garruk przemierza bezdroża w towarzystwie swoich najgroźniejszych leśnych bestii. Wychowany w twardym prawie przetrwania drapieżnik o zakrzywionych rogach i potężnych kłach niestrudzenie toruje drogę przed swoim przewodnikiem. Każda przeszkoda na szlaku — od zwalonych stuletnich pni po gęste chaszcze — zostaje bezlitośnie zmiażdżona pod ciężarem pędzącej masy mięśni. Pierwotna więź łącząca planeswalkera z jego zwierzęcym kompanem sprawia, że żaden wróg nie jest w stanie powstrzymać ich wspólnego natarcia przez dzikie knieje.
85	W bezdennych, wypełnionych nekrogenem czeluściach Dross Pits na planie Mirrodin biomechaniczne monstra frakcji Sheoldred niestrudzenie polują na wszelkie ślady oporu. Smukły niszczyciel z czernionego metalu i syntetycznych ścięgien bezszelestnie przemierza zardzewiałe pomosty, wypatrując ruchu na dolnych poziomach kopalni. Każde starcie z tą bezwzględną machiną kończy się natychmiastowym zniszczeniem intruza i pozyskaniem cennych surowców dla potęgi Nowej Phyrexii. Gdy krople lśniącego oleju skapują z jego żelaznych szponów w mroczną otchłań, stworzenie bez wahania rusza naprzód, gotowe złożyć kolejną daninę z życia na ołtarzu wielkiej kompleacji.
86	Nad lewitującymi skalnymi wyspami Sea of Clouds unosi się moogle — okrągła puszysta istota wielkości kota, o śnieżnobiałym futerku i ciemnofioletowych nietoperzowych skrzydełkach rozpostartych w locie. Nad jego głową kołysze się charakterystyczna cienka antenka zakończona różowym pomponem, a twarz rozpromieniona błogim uśmiechem. Jedną małą łapką dotyka czubka głowy stojącej niżej na skalnej wyspie sylwetki wojownika, i w miejscu kontaktu rozbłyskuje ciepła złotobiała iskra błogosławieństwa. W Eorzei moogle zjawiają się wtedy, gdy są potrzebni, i znikają, gdy nie są — kupo zawsze zostawia za sobą odrobinę siły, kupo.
87	Na rozświetlonej słońcem łące Bant na Alarze samotny rycerz w lśniącej białozłotej zbroi pędzi do przodu na piechotę z uniesionym oburącz mieczem, czempion wybrany do walki w imieniu wielu. Tuż za jego plecami zstępuje majestatyczna anielska postać z rozpostartymi złotopiórymi skrzydłami, prawą dłoń wyciągając ku niemu ze strumieniem ciepłego złotobiałego błogosławieństwa oplatającego jego ramiona i ostrze. Lewą dłoń anioł kieruje ku wrogowi po drugiej stronie kadru, a potężny przeciwnik zastyga w pół-ruchu, spętany bladozłotymi obręczami duchowej mocy. Na wzgórzu w tle stoi grupa wojowników ze złożonymi dłońmi — na Bant rycerz nigdy nie walczy sam, bo wiara tych, którzy go wysłali, leci z nim do przodu.
88	Podczas inwazji Phyrexii na planie Kaladesh dawni śmiertelni wrogowie zmuszeni są połączyć siły w obronie oblężonego Ghirapuru. Były naczelnik Konsulatu Baral oraz piracka kapitan Kari Zev stają ramię w ramię na mosiężnym moście, wyprowadzając zsynchronizowane uderzenie przeciwko biomechanicznym najeźdźcom. Błyskawiczne cięcie szablą i paraliżująca fala błękitnej magii eteru z łatwością rozbijają pierwszą linię wroga, podczas gdy zwinny Ragavan bezczelnie sabotuje mechanizmy przeciwnika. Ten nieoczekiwany sojusz bezwzględnego prawa i pirackiej wolności staje się jednym z najskuteczniejszych bastionów oporu w walce o przetrwanie metropolii.
89	W baśniowym lesie Lorwyn, między gigantycznymi paprociami i świetlistymi grzybami, psotny boggart o zielonkawobrązowej skórze i szerokim uśmiechu rzuca przed siebie kruchą żywiczną bańkę. Bańka właśnie pęka w locie, a z jej wnętrza wylewa się gęsty rój dużych jaskrawoczerwonych mrówek ognistych rozbiegających się we wszystkie strony. Na biodrze boggarta wisi skórzana torba, z której wystają kolejne żywiczne kule pełne owadów — zapas na całe popołudnie. W krainie, gdzie Kithkinowie sypiają w ziemniakach, a drzewa rosną do góry nogami, goblińska psota bywa ostrzejsza od miecza i zawsze szybsza.
90	Na osłoniętym od sztormów wybrzeżu w pobliżu Eiganjo na planie Kamigawa uświęcona zatoka stanowi oazę nienaruszonego spokoju. W płytkich, turkusowych wodach wznosi się cynobrowa brama torii, wokół której bezszelestnie unoszą się świetliste kami czystego morza i porannego blasku. Delikatne fale obmywają biały piasek i omszałe skały, niosąc ze sobą kojącą energię, która przynosi natychmiastowe ukojenie zmęczonym wędrowcom. W tym harmonijnym zakątku świata żywioły wody i światła przenikają się w doskonałej równowadze, tworząc bezpieczną przystań dla ciała i ducha.
91	W kamiennej komnacie wiedźmy na Innistradzie stoi drewniany stół oświetlony kilkoma dogasającymi świecami w żelaznych uchwytach. Na stole spoczywa prymitywna figurka rytualna spleciona z suchych traw i korzeni, w piersi której wbity jest ciemny cierń dzikiej róży — wokół wbicia tkanina nasiąka rozpływającym się ciemnoczerwonym pigmentem. Wokół figurki krąg soli i suszonych ziół, gliniane miseczki z wywarami, pęczki ciernistych gałązek i zwój pergaminu z klątwą wypisaną w stensiańskim dialekcie. W ludowej magii Stensii nikt nie mówi słów, których nie można unieść — a ten cierń znajdzie właściciela tego, kogo figurka przedstawia, zanim dopali się ostatnia kadzidłowa spirala.
92	Na kamiennym moście nad stojącą wodą w fortyfikacjach klanu Silumgar stoi masywny dżin-nieumarły, szarozielona skóra pokryta ostrymi kostnymi kolcami, oczy świecące matową żółtozielenią. W jednej ogromnej dłoni dzierży szeroki zakrzywiony sierp ceremonialny — symbol jego rangi i funkcji w hierarchii klanu. Po obu stronach mostu w nieruchomym szyku stoją kolejne sibsigi — nieumarli słudzy klanu, każdy o innej sylwetce, wszyscy w identycznej postawie oczekiwania. Nad fortyfikacjami krąży sam Silumgar, smok, który z martwych wrogów buduje swoją kolekcję dekoracji — a rzeźnik czeka tylko na skinienie, by dorzucić kolejną figurę do szpaleru.
93	W neutralnej, miękko oświetlonej przestrzeni laboratorium Esper unosi się w powietrzu niewielki artefakt z jasnego eteriumu — spłaszczona sfera otoczona pierścieniem cienkich metalicznych żeber rozkładających się na boki jak płatki kwiatu. Z centralnego kryształu wystrzelają spiralne fale białozłotej energii — czyste symetryczne wzory rozchodzące się promieniście i rozpuszczające warstwa po warstwie obok unoszący się wrogi artefakt o ciemnoczerwonych chaotycznych formach. Jednocześnie sama kapsuła zanika — jej złotawe żebra stają się przezroczyste, rozpływając się w powietrzu razem z uwalnianą energią. Rzemieślnicy Esper wierzą, że najelegantsze narzędzia nie zostawiają po sobie śladu — a kapsuła rozpraszacza jest dowodem, że estetyka Alary może być śmiertelna.
94	Na wapiennych murach oblężonej twierdzy Korlis na Dominarii stoi kilkunastu akolitów w prostych lnianych szatach i lekkich kolczugach, odwróconych plecami do obserwatora. Ich uzbrojenie jest skromne — włócznie, krótkie łuki, oszczepy z kamiennymi grotami — bo metal skażony, drewno trudno dostępne. Na murze za plecami obrońców płoną złotobiałym płomieniem kapłańskie misy ofiarne, rzucając ciepłą ochronną poświatę na twarze i ciała żołnierzy. Starsza kapłanka-dowódczyni unosi dłoń w okrzyku rozkazu — w epoce pęknięć czasu Korlis broni się tym, co ma, a wiara w złotym płomieniu jest cenniejsza od stali.
95	Przed pradawnym Drzewem Przodków — Kin-Tree klanu Abzan — stoi młody kapłan Cemal z Domu Emesh, ramiona rozłożone, dłonie uniesione w geście przyjęcia. Z kory i gałęzi drzewa wyłaniają się spiralne strumienie ciepłego złotawego światła, formujące się w półprzezroczyste świetliste sylwetki przodków wyciągających ku inicjatowi dłonie. Każdy dotyk duchowej dłoni pozostawia na jego ciele złotawy ślad — ciepły blask wchłaniany przez skórę i wzmacniający go od wewnątrz. Za plecami Cemala pień Kin-Tree świeci od wewnątrz pulsującym blaskiem, a na kamiennych płytach u jego podstawy wyryte są imiona tych, którzy odeszli, lecz nie odeszli do końca.
96	W wilgotnym zaułku Nowej Capenny oświetlonym odległym blaskiem neonów art déco stoi pewny siebie mężczyzna w dopasowanej kamizelce z lat dwudziestych, krawacie i ciemnym rozpiętym płaszczu. Przed jego klatką piersiową unosi się geometryczna półprzezroczysta tarcza szmaragdowego światła, a z palców wyciągniętej w bok dłoni spływa gruby strumień jaskrawozielonej magii. Ten strumień oplata stojącego tuż obok gigantycznego czarnego szczura rozmiarów potężnego niedźwiedzia — zmutowaną bestię Cabarettich stojącą nieruchomo przy nodze pana. W rodzinie, która traktuje Obscura jako koncert pozorów, głos szczurów bywa najbardziej wiarygodnym argumentem.
97	Nad metaliczną równiną Mirrodinu wznosi się Kuldotha — kolosalna góra-piec hutniczy, której ciemne żelazne i miedziane warstwy skalne poplątane są rurami, kanałami i kominami buchającymi pomarańczowymi łunami. Na szczycie góry otwarty krater wypełnia płynny metal, a słup gorącego powietrza, dymu i iskier wznosi się ku niebu jak sztuczne słońce rozświetlające okolicę od góry. Po zboczach spływają wąskie strumienie rozżarzonego metalu zasilające baseny i kanały u podstawy, a w jej cieniu krzątają się drobne sylwetki goblinów ciągnących wózki z rudą. Dla goblinów Kuldotha nie jest infrastrukturą — jest świątynią, matką i jedynym bogiem, któremu ufają, bo ogień nigdy nie zawodzi oczekiwań.
98	W ciasnym błotnistym zaułku między krzywymi kamienicami Novigradu, w świetle pojedynczej gazowej latarni, wychudzony wampir niższego rzędu zatrzymuje się w połowie skoku — głowa odwrócona w bok, szczęka luźno opuszczona. Bestia z fascynacją wpatruje się w chmarę małych jaskrawobłękitnych świetlistych motyli wirujących tuż przed jej pyskiem, całkowicie wytrącona z impetu ataku. W głębokim cieniu pod łapami potwora kuli się małe ubrane w brudne łachmany dziecko, z palców którego ulatują ostatnie gasnące błękitne iskry — źródło iluzji. Na Kontynencie Źródła rodzą się w najdziwniejszych miejscach, a motyle stworzone przez spanikowaną rękę ratują więcej istnień niż miecze wiedźminów.
99	W ciemnoniebieskiej toni Morza Żywego Srebra na Mirrodinie płynie majestatyczny gigantyczny wieloryb o płetwach z polerowanej stali. Ma szeroko otwarty pysk, w którym rzędy grubych metalicznych fiszbinów przypominających namagnesowane pręty przyciągają gęste chmury srebrzystych opiłków metalu i drobiny lśniącej rudy zawieszone w wodzie. Wokół niego unosi się kilka precyzyjnie wykonanych kulistych artefaktów emanujących jaskrawym błękitnym światłem, które oświetla paszczę wieloryba i jego stalowe płetwy. W tle wznoszą się potężne heksagonalne kolumny mirrańskiego dna oceanu — w świecie bez ziemi żywe stworzenia nie polują na mięso, lecz na metal, który zastępuje im wszystko.
100	W szerokim zakrzywionym korytarzu stacji kosmicznej na obrzeżach układu Sothera stoi humanoidalny mech eskortowy o smukłej ciężko opancerzonej sylwetce w kolorze ciemnoniebieskiej stali. W prawej dłoni dzierży długą ceremonialną halabardę o lśniącym energetycznym ostrzu — jednocześnie broń i insygnia rangi dyplomatycznej. Lewa ręka trzyma owalną tarczę energetyczną z bladoniebieskiego światła unoszącą się kilka centymetrów od ramienia, gotową do natychmiastowego rozwinięcia. Za plecami mecha widać drobniejszą cywilną sylwetkę emisariusza w eleganckich szatach — na The Edge robot eskortowy nie wygląda groźnie, dopóki nie zorientujesz się, że halabarda już zdążyła zdecydować.
101	Nad kałużą ciemnej wody na błotnistym gotyckim cmentarzu Innistradu kuca szkielet w poszarpanych szatach, trzymając w lewej dłoni żelazną latarnię z zimnym niebieskim światłem. Wyciąga kościstą prawą dłoń w dół ku lustrzanej tafli, ale w odbiciu zamiast szkieletu widać postać żywego mężczyzny w grubym płaszczu podróżnym z latarnią o ciepłym żółtym świetle, wyciągającego dłoń w górę. Palce szkieletu i ludzkie palce z odbicia stykają się dokładnie na powierzchni wody, a między nimi balansuje srebrna moneta — w połowie trzymana nad wodą przez zmarłego, w połowie pod wodą przez żywego. W geometrii Innistradu śmierć i życie nie są oddzielonymi stanami, lecz dwiema stronami tafli, nad którą warto handlować, zanim woda się zetnie.
102	Nad krawędzią ogromnego aktywnego krateru na jundyjskim fragmencie Alary z góry pikuje wielki smok — drapieżnik o ciemnoczerwonych łuskach żarzących się pomarańczową poświatą od tarcia z atmosferą. Jego ciało otoczone jest płomieniami i gorącym powietrzem, za nim ciągną się smugi dymu i iskier niczym za spadającym meteorem. Na wąskim skalnym grzbiecie pod spadkiem dopiero co zauważyła cień mniejsza sylwetka — humanoid lub bestia — z głową uniesioną w jedyny moment rozpoznania zagrożenia, które jest już za blisko. W Jundzie smoki nie dają ostrzeżeń i nie negocjują — kto się gapi w niebo za późno, staje się ucztą, z której nie zostaje nawet opowieść.
103	Po kolana w ciemnej spokojnej wodzie rzeki Tartyks w Podziemnym Świecie Theros stoi nieruchomo mężczyzna w prostej greckiej tunice, twarz uniesiona, oczy zamknięte w spokojnym poddaniu. Z jego głowy i ramion unoszą się ku górze fragmenty wspomnień — eteryczne bladoniebieskie i białe kształty strzępków pergaminu, odłamków posągów, liter alfabetu greckiego — wszystko rozpływające się w bezforemną błękitną mgłę, im wyżej się wznosi. Tafla wody nie odbija jego starej twarzy, lecz tę samą postać młodszą i uśmiechniętą wśród innych ludzi — wspomnienie, które jeszcze trwa, ale już blaknie. Na brzegu symbol Erebosa na omszałej kolumnie patrzy bez wyroku — w zaświatach Theros zapomnienie nie jest karą, lecz ceną wstępu.
104	Nisko nad mokrą nawierzchnią toru wyścigowego Kaladeshu leci widmowy zwiadowca — półprzezroczysta eteryczna sylwetka zbudowana z migoczącej błękitnej i cyjanowej energii, jej kontury rozpadają się na pikselowate artefakty i poziome pasy zniekształceń jak hologram z usterką. Dwa jaśniejsze punkty w miejscu oczu świadczą o skupieniu — duch mapuje trasę dla kogoś, kto zapłacił za tę mapę. Za nim ciągnie się smuga drobnych bladoniebieskich iskier i rozpadających się fragmentów danych — ślad energetyczny, który zanika po chwili. W wyścigach Konsulat nie lubi duchów, bo nie da się ich dyskwalifikować — a renegaci odkryli, że zwiadowca, który przeszedł przez śmierć, nie boi się bramki pomiarowej.
105	Na zaśnieżonej uliczce Kamigawy łączącej tradycyjną japońską architekturę z cyberpunkowymi neonami antropomorficzny kitsune o śnieżnobiałym futrze wykonuje choreograficzny obrót w dopasowanym granatowym stroju ninja z elementami nowoczesnej zbroi. W dłoniach trzyma dwie zaawansowane technologicznie katany o jaskrawych energetycznych ostrzach, których smugi światła spiralnie owijają się wokół jego sylwetki tworząc fizyczny świetlny wicher. Z brukowanej ziemi u jego stóp unosi się kłąb gęstego białego dymu, w którym częściowo ukrywa się postać, a płatki padającego śniegu błyszczą w świetle neonów. W Erze Neonów stara dusza Kamigawy trzyma katanę, ale ostrze katany jest teraz plazmowe — tradycja zna się na aktualizacji oprogramowania.
106	Na słonecznej łące Lorwyn porośniętej bardzo wysoką zieloną trawą niski krępy kithkin o proporcjonalnie większej głowie i wielkich czujnych oczach tkwi w niskiej dynamicznej pozie gotowości. W dłoniach trzyma wycelowaną przed siebie długą smukłą włócznię cienką jak igła, a do skórzanego pasa ma przytroczony flakonik emanujący pulsującym białym światłem. Wokół jego postaci między grubymi źdźbłami trawy lata chmara małych świetlistych owadów — dowód, że nie przyszedł sam. W osadach kithkinów nie ufa się wielkości ciała, lecz sieci sąsiadów, a każda włócznia jest przedłużeniem wspólnego pola widzenia całej wioski.
107	Między dwoma masywnymi pniami na skraju wampirycznej posiadłości w Somberwald rozpina się ogromna sieć pająka wielkości konia — bestii o ciemnozielonym włosiu, kościstych odnóżach i skupisku małych zielonych oczu świecących cierpliwością. Wysoko w górnej części sieci tkwi uwięziona wielka skrzydlata istota owinięta kokonem nici, a na ziemi pod pająkiem leżą puste kokony i resztki wcześniejszych ofiar. W cieniu pnia stoi elegancka bladotwarza wampirzyca w płaszczu z wysokim kołnierzem, ostrożnie wyciągając z dolnych nici lśniący klejnot opadły z uwięzionej ofiary. W Stensii drapieżnicy zawarli między sobą cichą umowę — pająki łowią, wampiry zbierają, a nikt nie ma o nic pretensji.
108	W bujnym arboretum pośród zniszczonej inwazją Ravnicy w powietrzu nad drzewami szarpie się lazotepowy Wieczny Bolasa — skrzydlaty humanoid o złotawoniebieskiej twarzy i ciemnych rozpostartych skrzydłach. Z gałęzi, trawy i pnączy wystrzeliły właśnie w górę grube zielone pędy rosnące w nadnaturalnym tempie, oplatające jedno skrzydło kolczastą lianą i ciągnące latającego najeźdźcę nieubłaganie ku koronom. Na ziemi stoi drobna druidka w prostych zielonych szatach, bosa, dłonie uniesione ku niebu, oczy zamknięte w intensvm skupieniu — zaklęcie przyspieszonego wzrostu rzucane z rozpaczą, nie z doświadczenia. W Golgari uczy się, że ogród może być bronią — ale ta lekcja nigdy nie była tak dosłowna jak w chwili, gdy Bolas nad Ravnicą ściąga Wiecznych z nieba.
109	W porośniętych dżunglą ruinach Zendikaru pod kamiennym hedronem widocznym na horyzoncie potężnie zbudowany ludzki wojownik w ciężkiej zbroi stoi z odruchowo wyciągniętymi przed siebie otwartymi dłońmi. Tuż nad nim, w połowie niezwykle akrobatycznego skoku, chudy goblin w skórzanym rynsztunku wspinaczkowym przelatuje nad jego głową z szerokim uśmiechem. Opierając się jedną ręką o naramiennik wojownika jak o trampolinę, goblin drugą dłonią upuszcza w otwarte dłonie przeciwnika jarzącą się ciemną poświatą skradzioną czaszkę. Ekspedycje na Zendikar uczą, że największym zagrożeniem w ruinach nie są strażnicy — jest nim ktoś zwinniejszy, kto właśnie podrzucił ci to, czego sam nie chce nieść.
110	Na polu bitwy Dominarii w złotej godzinie zachodzącego słońca stoi zwykły ludzki piechur w zużytej kolczudze i skórzanym napierśniku, z prostym mieczem w dłoni — zmęczony, zakurzony, nie bohater. Z nieba pełnego ciepłego pomarańczowego światła zstępuje ku niemu eteryczna forma anioła Serry — rozpostarte skrzydła z piór czystego światła wyrastają jakby z jego pleców, ramiona anielskiej obecności oplatają jego ramiona, dłonie nakładają się na dłonie na rękojeści. Żołnierz unosi się kilka centymetrów nad ziemią, ale jeszcze tego nie zauważył — miecz w jego dłoni lśni złotawo, a zbroja wydaje się jaśniejsza niż była. Na Dominarii Serra nie przychodzi po generałów — przychodzi po tych, którzy stoją dalej, choć reszta już nie stoi.
111	Na wzgórzu porośniętym wyschłą fioletowoszarą trawą stoi Liliana Vess plecami do obserwatora, twarz zwrócona ku odległej opuszczonej posiadłości Vess rysującej się na tle bladego nieba. Z jej prawej dłoni unosi się ku górze bladofioletowa eteryczna smuga wspomnienia, które zachowuje dla siebie, spiralnie znikając w fałdach jej szat. Z lewej opada ku ziemi ciemniejsza smuga, wsiąkając w wyschłą trawę — coś oddane, złożone w grobie, pożegnane na zawsze. U podnóża wzgórza z ziemi wystaje pojedyncza złotawa rękawica pancerna pokryta patyną — ostatni ślad brata, Josu Vessa, któremu nekromantka daje jedyny dar, jaki może: wreszcie spokojny sen.
112	Z wysokich chmur burzowych nad Alarą, rozświetlonych wirującymi pasmami zielonej, białej i niebieskiej magii, w dół nurkuje zwarta formacja ptasich żołnierzy. Na pierwszym planie potężny wojownik z głową i skrzydłami orła o brązowo-złotym upierzeniu, w lśniącej zbroi w odcieniach bieli i złota, dzierży długą ozdobną włócznię z powiewającymi żółtymi wstęgami. Za nim kolejni żołnierze w formacji — wszyscy o dumnych skupionych spojrzeniach, dokładnie tak, jak przystoi zakonowi Bant. Tam, gdzie Esper, Bant i Naya zlały się w jeden świat, skrzydła biorą na siebie ciężar trzech tradycji jednocześnie — nikt nie leci osobno.
113	W ciasnym renegackim warsztacie w bocznej uliczce Ghirapuru stoi konstrukt spawalniczy z miedzi i mosiądzu, pokryty filigranowym kaladeskim ornamentem i świeżymi prowizorycznymi modyfikacjami — dolutowane dodatkowe płyty, kable biegnące na zewnątrz, drugi rdzeń aetherowy przyczepiony szorstko obok oryginalnego. Jedno ramię automatu kończy się palnikiem spawalniczym plującym intensywnym niebiesko-pomarańczowym płomieniem, skierowanym już nie w metalowe belki, lecz w wyłom w ścianie, za którym widać żołnierzy Konsulatu. Drugie ramię z przemysłowym chwytakiem wciąż trzyma niedokończony element, jakby zostało oderwane od pracy w połowie zadania. Na ścianie za konstruktem wyskrobany kredą symbol renegackiego ruchu — Ghirapur nauczyło się, że każde narzędzie jest bronią, jeśli dobrze je doładować.
